id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
354,"Diepoldsau, Rietbrücke",4292500.0,2692500.0,6275.0,Rhine,Rhine,Rhine,CH,,15511,676.6,751.0,934.0,1055.2,1171.5,1322.0,1434.7,1547.1,1695.3,0,0,0,0,,,
355,Domat/Ems,4282500.0,2637500.0,3250.0,Rhine,Rhine,Rhine,CH,,15711,385.5,429.6,538.1,609.9,678.8,768.0,834.9,901.5,989.3,1,0,1,0,0.0,,0.0
356,"Neuhausen, Flurlingerbrücke",4217500.0,2727500.0,11775.0,Rhine,Rhine,Rhine,CH,,15111,623.3,679.3,817.2,908.5,996.1,1109.4,1194.4,1279.0,1390.7,0,0,0,2,,0.0,0.0
357,Rekingen,4192500.0,2722500.0,14625.0,Rhine,Rhine,Rhine,CH,,13111,890.6,965.3,1149.3,1271.1,1388.0,1539.2,1652.6,1765.5,1914.5,1,0,1,2,0.0,0.0,0.0
358,Rheinfelden (Messstation),4152500.0,2717500.0,34350.0,Rhine,Rhine,Rhine,CH,,11711,2346.2,2562.1,3093.3,3445.0,3782.3,4219.0,4546.2,4872.3,5302.4,1,1,0,0,1.0,1.0,1.0
359,Laupen,4112500.0,2647500.0,1925.0,Aare,Saane,Rhine,CH,,12611,200.5,224.6,283.8,323.0,360.7,409.4,445.8,482.2,530.2,1,1,0,0,1.0,1.0,1.0
361,Andelfingen,4227500.0,2722500.0,1750.0,Thur,Thur,Rhine,CH,,14111,356.5,407.6,533.5,616.8,696.8,800.3,877.8,955.1,1057.0,1,0,1,0,0.0,,0.0
362,Halden,4262500.0,2707500.0,1125.0,Thur,Thur,Rhine,CH,,14111,333.6,385.4,512.9,597.3,678.3,783.1,861.6,939.8,1043.1,1,0,1,0,0.0,,0.0
459,Bad Kissingen,4327500.0,3017500.0,1575.0,Main,Franconian Saale,Rhine,DE,,8611,59.2,70.4,98.1,116.4,134.0,156.8,173.8,190.8,213.3,0,0,0,0,,,
468,Hüttendorf,4392500.0,2932500.0,3875.0,Main,Regnitz,Rhine,DE,,8831,116.2,129.9,163.7,186.0,207.5,235.2,256.0,276.7,304.1,0,0,0,0,,,
472,Kemmern,4382500.0,2987500.0,4150.0,Main,Main,Rhine,DE,,8911,200.0,229.1,300.8,348.3,393.8,452.8,497.0,541.0,599.0,1,0,1,0,0.0,,0.0
476,Mainleus,4417500.0,2997500.0,1175.0,Main,Main,Rhine,DE,,8911,70.7,82.2,110.6,129.4,147.4,170.7,188.2,205.6,228.6,1,0,1,1,0.0,0.0,0.0
478,Neumühle,4392500.0,2922500.0,1825.0,Main,Rednitz,Rhine,DE,,8851,49.5,55.5,70.4,80.3,89.7,101.9,111.1,120.2,132.3,0,0,0,0,,,
480,Nürnberg,4397500.0,2927500.0,1225.0,Main,Pegnitz,Rhine,DE,,8841,34.1,38.2,48.3,55.0,61.4,69.7,75.9,82.1,90.3,0,0,0,0,,,
485,Salz,4337500.0,3022500.0,1025.0,Main,Franconian Saale,Rhine,DE,,8611,40.2,47.2,64.5,75.9,86.9,101.1,111.7,122.3,136.3,0,0,0,0,,,
486,Schwürbitz,4402500.0,3007500.0,2500.0,Main,Main,Rhine,DE,,8911,155.8,177.2,229.8,264.7,298.1,341.4,373.8,406.1,448.8,1,0,1,0,0.0,,0.0
490,Wolfsmünster,4302500.0,2997500.0,2125.0,Main,Franconian Saale,Rhine,DE,,8611,78.4,93.5,130.6,155.2,178.8,209.3,232.1,254.9,285.0,0,0,0,0,,,
833,L'Ill à Ensisheim,4122500.0,2747500.0,975.0,Ill,Ill,Rhine,FR,,11411,84.3,96.5,126.7,146.7,165.8,190.6,209.2,227.7,252.1,0,0,0,0,,,
919,Trunstadt,4377500.0,2977500.0,11925.0,Main,Main,Rhine,DE,,8711,405.7,466.5,616.2,715.3,810.4,933.4,1025.6,1117.5,1238.7,1,0,1,0,0.0,,0.0
920,Schweinfurt Neuer Hafen,4332500.0,2987500.0,12675.0,Main,Main,Rhine,DE,,8711,418.8,484.1,644.9,751.3,853.4,985.6,1084.6,1183.3,1313.5,1,0,1,0,0.0,,0.0
921,Würzburg,4317500.0,2962500.0,13925.0,Main,Main,Rhine,DE,,8711,439.4,509.4,681.5,795.5,904.8,1046.3,1152.4,1258.0,1397.4,1,1,0,0,1.0,1.0,1.0
