station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter
2210,SZENDRO,5112500.0,2867500.0,1600.0,Tisa,Bodvaj,Danube,HU,,126221
4329,Santa Quiteria (E.A. 5),3457500.0,1932500.0,4075.0,Mijares,Mijares,Mijares,ES,1.0,1
1324,Zaricheve,5232500.0,2932500.0,1325.0,Tisa,Uzh,Danube,UA,,128222
1189,Valladolid-Pisuerga,3097500.0,2177500.0,15575.0,Pisuerga,Pisuerga,Douro,ES,2.0,18111
2122,HAMOIR(TABREUX),4002500.0,3042500.0,1600.0,Meuse,Ourthe,Rhine,BE,,2451
3148,L'Oise à Origny-Sainte-Benoite,3852500.0,2992500.0,1200.0,Oise,Oise,Seine,FR,2.0,433
136,"Muonionjoki, Muonio",4887500.0,5042500.0,9250.0,Torne,Muonio,Torne,FI,2.0,4
1971,RETHEM,4282500.0,3297500.0,15500.0,Aller,Aller,Weser,DE,2.0,211
3252,L'Ardèche à Saint-Martin-d'Ardèche [Sauze-Saint-Martin],3872500.0,2377500.0,2225.0,Rhone,Ardeche,Rhone,FR,2.0,321
241,Milocaj,5177500.0,2357500.0,4675.0,Velika Morava,Zapadna Morava,Danube,RS,,82311
2754,Pt_cov_Jihlava,4757500.0,2912500.0,1175.0,Morava,Klapovsky potok,Danube,CZ,,182222
679,Kiskore felso,5112500.0,2767500.0,64875.0,Tisa,Tisza,Danube,HU,,125311
3118,La Seine à Paris,3762500.0,2877500.0,30725.0,"Seine, below Yonne",Seine,Seine,FR,1.0,711
2190,KILJAFOSS,2867500.0,4952500.0,2350.0,Hvita,Hvita,Hvita,IS,1.0,1
1190,Herrera De Pisuerga,3152500.0,2272500.0,1525.0,Pisuerga,Pisuerga,Douro,ES,2.0,18711
216,Wels-Lichtenegg,4612500.0,2782500.0,3425.0,Traun,Traun,Danube,AT,,191811
77,Muehlberg,4542500.0,3152500.0,55075.0,"Elbe, below Ohre",Elbe,Elbe,DE,1.0,9111
601,Gallego En Ardisa,3432500.0,2177500.0,2025.0,Gallego,Gallego,Ebro,ES,2.0,4111
788,Bals,5437500.0,2467500.0,1950.0,Danube,Oltet,Danube,RO,,62111
5220,Novi Grad nizvodno,4822500.0,2462500.0,8725.0,Sava,Una,Danube,BA,,106111
457,Ampermoching,4427500.0,2797500.0,2225.0,Isar,Amper,Danube,DE,,211212
3114,Le Loing à Châlette-sur-Loing [Gué de Lancy],3782500.0,2797500.0,2425.0,Loing,Loing,Seine,FR,2.0,811
1543,Sutton Courtenay,3547500.0,3232500.0,3375.0,Thames,Thames,Thames,UK,1.0,93
3017,Santa Teresa,3007500.0,2092500.0,2225.0,Tormes,Tormes,Douro,ES,2.0,12111
4282,Cerkvenikov mlin,4637500.0,2512500.0,1025.0,Reka,Reka,Reka,SI,1.0,1
4521,Slunj uzvodni,4762500.0,2462500.0,1075.0,Sava,Korana,Danube,HR,,108421
348,"Zuerich,Unterhard",4207500.0,2697500.0,2225.0,Aare,Limmat,Rhine,CH,,12211
4554, Río Segre en Lérida,3542500.0,2107500.0,11550.0,Segre,Segre,Ebro,ES,2.0,2311
891,Passau Ilzstadt,4577500.0,2832500.0,76775.0,Danube,Danube,Danube,DE,,192013
5156,Záncara en Socuéllamos,3212500.0,1902500.0,3675.0,Ciguela,Zancara,Guadiana,ES,3.0,1621
263,Markovicevo,5182500.0,2532500.0,1000.0,Tamis,Brzava,Danube,RS,,92211
3313,Montodine - via Bodesine,4297500.0,2472500.0,1100.0,Adda,Serio,Po,IT,,4211
1630,Krichev,5732500.0,3612500.0,10250.0,Sozh,Sozh,Dnieper,BY,2.0,871
2231,SKWIERZYNA,4697500.0,3292500.0,30900.0,Warta,Warta,Oder,PL,2.0,2511
2007,KALLAVESI-KONNUS-KARVIO,5227500.0,4497500.0,16250.0,Neva,Kallavesi,Neva,FI,3.0,22
